id;nom;num_siret;insee;adresse;complement_localisation;commune;url;type_usagers;gratuit;nb_niveaux;nb_places;nb_pl_vl;nb_pmr;nb_voitures_electriques;nb_pl_2roues;hauteur_max;haut_niveau_inf;xlong;ylat;type_ouvrage;type_gestion;delegataire_gestionnaire;dsp;horaire_visit;horaire_abo;geo_shape;geo_point_2d;irve;dsp_periode;denom_comp;an_constr;surf_exploit
92072-P-016;Parking Brancas;;92072;RUE BRANCAS, 92310, SEVRES;Angle rue de Ville d'Avray;SEVRES;;tous;FAUX (zone Orange);;16;16;0;0;0;N/A;;2.2009390380543166;48.826032967581455;enclos_en_surface;Payant par horodateur (zone Orange);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2009390380543166, 48.826032967581455], ""type"": ""Point""}";48.826032967581455, 2.2009390380543166;Non;;;;
92048-P-011;Parking Baudreuil;;92048;RUE DE BAUDREUIL, 92190, MEUDON;Angle rue de l'Eglise;MEUDON;;tous;FAUX (zone Rouge);;24;24;1;0;0;N/A;;2.237248467079563;48.80734832896479;enclos_en_surface;Payant par horodateur (zone Rouge);;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.237248467079563, 48.80734832896479], ""type"": ""Point""}";48.80734832896479, 2.237248467079563;Non;;;;
92012-P-017;Les Passages;56210021401235;92012;161  RUE D'AGUESSEAU, 92100, BOULOGNE-BILLANCOURT;Rue le Corbusier;BOULOGNE-BILLANCOURT;;tous;FAUX;;600;;;2;;205;;2.238003623618236;48.83686773170749;ouvrage;Payant sous barrière;Autre personne privée;Non;7h à 1h 7j/7;7h à 1h 7j/7;"{""coordinates"": [2.238003623618236, 48.83686773170749], ""type"": ""Point""}";48.83686773170749, 2.238003623618236;Oui;;;;
92022-P-049;Centre-Ville;51254612800020;92022;1471  AVENUE ROGER SALENGRO, 92370, CHAVILLE;;CHAVILLE;https://www.ville-chaville.fr/transports-stationnement/stationnement/parkings-341.html;tous;FAUX;;82;;3;0;;190;;2.1888063269178395;48.809205813658686;ouvrage;Payant sous barrière;Seine Ouest Aménagement;Ville;;;"{""coordinates"": [2.1888063269178395, 48.809205813658686], ""type"": ""Point""}";48.809205813658686, 2.1888063269178395;Non;;;;
92072-P-043;Île de Monsieur;80034814600047;92072;ROUTE DE SAINT CLOUD, 92310, SEVRES;;SEVRES;https://fr.parkindigo.com/parking/sevres-92310/sevres-ile-de-monsieur-92201000;tous;FAUX;;69;69;1;0;9;N/A;;2.222690729180624;48.83464578374419;enclos_en_surface;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.222690729180624, 48.83464578374419], ""type"": ""Point""}";48.83464578374419, 2.222690729180624;Non;2022-2027;;;
92075-P-051;Piscine;;92075;12  RUE LARMEROUX, 92170, VANVES;;VANVES;;;FAUX (zone Rouge);;;;;;;N/A;;2.281507017370897;48.817261506880016;enclos_en_surface;Payant par horodateur (zone Rouge);;Non;;;"{""coordinates"": [2.281507017370897, 48.817261506880016], ""type"": ""Point""}";48.817261506880016, 2.281507017370897;Non;;;;
92040-P-046;Issy Coeur de Ville;80034814600047;92040;RUE VICTOR HUGO, 92130, ISSY-LES-MOULINEAUX;rue Horace Vernet;ISSY-LES-MOULINEAUX;;tous;FAUX;;;;;;;220;;2.27509113565216;48.826663297514585;ouvrage;Payant sous barrière;Indigo;Non;;;"{""coordinates"": [2.27509113565216, 48.826663297514585], ""type"": ""Point""}";48.826663297514585, 2.27509113565216;;;;;
92040-P-045;Issy Val de Seine;37888823401562;92040;7  RUE ROUGET DE L'ISLE, 92130, ISSY-LES-MOULINEAUX;;ISSY-LES-MOULINEAUX;https://www.q-park.fr/fr-fr/villes/issy-les-moulineaux/val-de-seine/;tous;FAUX;3;297;;10;0;5;190;;2.262689497093097;48.82953255270816;ouvrage;Payant sous barrière;Q-Park;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.262689497093097, 48.82953255270816], ""type"": ""Point""}";48.82953255270816, 2.262689497093097;Non;1996-2031;Issy Val de Seine;1994;3564
92072-P-001;Centre-Ville;80034814600047;92072;10  RUE LECOINTRE, 92310, SEVRES;;SEVRES;https://fr.parkindigo.com/parking/sevres-92310/sevres-centre-ville-92200400;tous;FAUX;5;369;359;8;18;10;190;;2.2123965287701033;48.82346513596046;ouvrage;Payant sous barrière;Indigo;GPSO;Tous les jours de 7h00 à 21h00 / Sortie 24h/24 7j/7;Tous les jours de 7h00 à 21h00 / Sortie 24h/24 7j/7;"{""coordinates"": [2.2123965287701033, 48.82346513596046], ""type"": ""Point""}";48.82346513596046, 2.2123965287701033;Oui;2022-2027;Théâtre-Europe;1930;4428
92048-P-031;Place Centrale;80034814600047;92048;RUE BERNARD DELPUECH, 92190, MEUDON;;MEUDON;https://fr.parkindigo.com/parking/meudon-la-foret-92360/place-centrale-92180100;tous;FAUX;2;106;;2;7;;190;;2.228719472470402;48.787374639917715;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.228719472470402, 48.787374639917715], ""type"": ""Point""}";48.787374639917715, 2.228719472470402;Oui;2014-2026;;;
